Yard Line,Number of Plays,Touchdowns
1,384,182
2,308,87
3,224,60
4,269,71
5,284,67
6,240,49
7,246,42
8,229,39
9,281,45
10,253,30
11,269,31
12,261,29
13,228,18
14,278,24
15,250,14
16,294,26
17,250,20
18,281,21
19,237,19
20,339,13
21,278,13
22,268,13
23,308,11
24,302,19
25,367,14
26,295,13
27,331,10
28,280,9
29,324,13
30,378,7
31,331,7
32,328,7
33,387,12
34,362,7
35,385,13
36,367,11
37,339,3
38,343,6
39,381,7
40,414,9
41,380,7
42,366,6
43,427,5
44,426,2
45,416,2
46,406,2
47,452,6
48,445,8
49,460,6
50,531,5
51,459,3
52,481,9
53,446,1
54,476,2
55,520,5
56,453,6
57,472,2
58,519,3
59,524,6
60,605,4
61,549,3
62,523,4
63,479,4
64,566,1
65,3082,15
66,547,2
67,569,9
68,533,2
69,607,1
70,596,8
71,591,4
72,617,6
73,552,8
74,577,8
75,707,8
76,536,5
77,569,3
78,576,6
79,545,5
80,2173,18
81,410,2
82,380,1
83,357,0
84,363,3
85,367,1
86,270,2
87,288,3
88,205,2
89,218,3
90,299,5
91,164,4
92,179,1
93,118,3
94,115,0
95,140,2
96,87,0
97,74,0
98,82,1
99,51,4
