Yard Line,Number of Plays,Touchdowns,,,,
1,410,194,,,,
2,328,85,,,,
3,196,71,,,,
4,300,82,,,,
5,299,81,,,,
6,265,52,,,,
7,274,55,,,,
8,235,41,,,,
9,258,30,,,,
10,267,42,,,,
11,227,31,,,,
12,267,23,,,,
13,280,25,,,,
14,276,29,,,,
15,292,22,,,,
16,244,20,,,,
17,266,23,,,,
18,265,15,,,,
19,304,22,,,,
20,310,29,,,,
21,265,9,,,,
22,258,8,,,,
23,302,11,,,,
24,305,13,,,,
25,383,17,,,,
26,322,11,,,,
27,309,12,,,,
28,293,8,,,,
29,328,8,,,,
30,355,11,,,,
31,347,11,,,,
32,370,9,,,,
33,346,5,,,,
34,372,14,,,,
35,435,10,,,,
36,346,8,,,,
37,321,6,,,,
38,353,6,,,,
39,385,10,,,,
40,414,8,,,,
41,401,8,,,,
42,397,4,,,,
43,395,11,,,,
44,409,5,,,,
45,457,5,,,,
46,376,2,,,,
47,403,7,,,,
48,370,4,,,,
49,404,3,,,,
50,516,6,,,,
51,465,6,,,,
52,442,4,,,,
53,482,6,,,,
54,483,4,,,,
55,563,9,,,,
56,498,3,,,,
57,502,5,,,,
58,524,1,,,,
59,525,2,,,,
60,672,7,,,,
61,543,4,,,,
62,514,4,,,,
63,525,6,,,,
64,540,3,,,,
65,3237,19,,,,
66,565,6,,,,
67,574,4,,,,
68,522,1,,,,
69,632,6,,,,
70,611,8,,,,
71,627,4,,,,
72,539,5,,,,
73,568,5,,,,
74,529,2,,,,
75,714,3,,,,
76,564,5,,,,
77,567,2,,,,
78,613,5,,,,
79,524,5,,,,
80,2338,17,,,,
81,448,3,,,,
82,387,3,,,,
83,357,4,,,,
84,333,5,,,,
85,369,3,,,,
86,290,2,,,,
87,248,4,,,,
88,258,2,,,,
89,217,2,,,,
90,288,1,,,,
91,172,4,,,,
92,177,1,,,,
93,137,2,,,,
94,109,0,,,,
95,126,2,,,,
96,78,0,,,,
97,82,0,,,,
98,58,1,,,,
99,80,1,,,,
