Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,3127,863,403,2024,1099
2,2501,1210,341,899,332
3,1829,824,333,753,263
4,1925,925,328,702,197
5,2159,1044,374,793,166
6,1954,916,271,781,128
7,1974,963,264,714,117
8,1896,893,237,731,94
9,2093,989,242,780,74
10,2140,1076,236,754,72
11,2117,1037,191,775,57
12,2052,999,153,755,44
13,2102,1031,170,786,53
14,2283,1121,156,829,47
15,2485,1214,147,838,34
16,2144,1076,124,756,28
17,2188,1119,130,769,30
18,2165,1071,117,777,21
19,2333,1198,123,803,22
20,2622,1327,132,908,26
21,2262,1109,101,843,10
22,2261,1135,96,782,23
23,2422,1229,85,884,17
24,2525,1294,82,914,16
25,2714,1371,97,968,16
26,2422,1232,84,854,13
27,2500,1266,62,906,14
28,2440,1230,56,885,15
29,2646,1303,68,980,8
30,2997,1583,68,1015,19
31,2646,1360,65,920,12
32,2700,1400,59,990,14
33,2797,1470,53,969,12
34,2893,1509,70,1060,9
35,3200,1705,64,1122,18
36,2972,1579,50,1047,8
37,2850,1508,36,1018,7
38,2890,1558,36,1005,15
39,3045,1631,43,1070,9
40,3455,1827,54,1178,9
41,3049,1588,40,1053,8
42,3052,1586,47,1076,3
43,3266,1690,37,1154,7
44,3499,1854,36,1172,6
45,3700,1936,28,1272,9
46,3296,1671,27,1211,4
47,3358,1799,34,1144,5
48,3492,1829,35,1198,8
49,3571,1921,24,1197,8
50,4235,2238,31,1330,11
51,3531,1838,26,1221,6
52,3618,1980,28,1225,3
53,3702,1941,31,1307,3
54,4001,2130,27,1350,5
55,4650,2464,33,1564,4
56,3906,2049,28,1321,8
57,3889,2064,24,1344,5
58,3964,2081,19,1351,2
59,4332,2304,33,1450,3
60,5097,2683,23,1702,8
61,4346,2294,36,1431,3
62,4262,2255,22,1440,5
63,4399,2374,25,1464,4
64,4434,2341,22,1547,5
65,20333,2711,30,1710,8
66,4506,2280,26,1624,3
67,4460,2367,30,1485,6
68,4392,2383,19,1522,7
69,4814,2625,29,1672,5
70,9796,2600,27,1630,4
71,4772,2227,23,1815,6
72,4572,2380,23,1474,3
73,4539,2501,30,1388,1
74,4568,2499,26,1421,4
75,7135,3830,37,2465,7
76,4435,2356,23,1444,8
77,4331,2443,25,1316,2
78,4283,2355,24,1326,1
79,3927,2121,26,1280,4
80,14829,7662,85,5776,16
81,3262,1717,20,1069,4
82,2940,1564,9,955,2
83,2730,1441,14,860,1
84,2643,1358,14,899,0
85,2955,1527,15,969,7
86,2248,1093,12,821,1
87,2038,1032,17,729,2
88,1846,925,12,641,1
89,1739,858,10,654,3
90,2216,1113,13,833,4
91,1476,664,13,609,3
92,1380,641,9,554,0
93,974,416,4,413,1
94,949,379,6,410,1
95,919,403,10,360,0
96,694,277,1,324,0
97,584,205,2,291,2
98,555,191,5,263,1
99,535,213,9,247,2
100,0,0,0,0,0
