Yard Line,Number of Plays,Passing Plays,Passing Touchdowns,Rushing Plays,Rushing Touchdowns
1,409,107,47,266,128
2,308,139,46,116,40
3,203,85,38,90,32
4,210,87,32,93,26
5,295,140,44,103,19
6,274,122,30,101,20
7,274,123,30,105,16
8,253,121,32,96,9
9,255,126,29,92,9
10,250,109,24,102,10
11,284,128,21,121,5
12,272,123,18,107,7
13,269,139,25,93,6
14,276,137,19,103,3
15,297,153,19,102,5
16,257,117,12,95,5
17,250,133,17,87,4
18,257,126,13,90,2
19,293,155,20,102,0
20,326,158,11,125,4
21,310,137,11,121,0
22,266,118,14,113,4
23,277,127,9,111,2
24,337,169,9,134,1
25,325,160,9,119,2
26,312,133,11,137,3
27,286,138,5,110,2
28,314,160,10,110,1
29,357,169,5,137,4
30,382,203,7,132,5
31,309,155,9,110,2
32,321,169,9,115,1
33,361,189,12,125,2
34,361,190,9,125,0
35,414,209,7,157,5
36,335,162,5,127,3
37,414,221,8,150,0
38,387,195,4,147,2
39,442,228,4,172,3
40,455,229,3,166,1
41,392,206,8,124,0
42,421,208,6,153,1
43,449,228,7,162,2
44,473,239,2,157,0
45,450,242,5,152,2
46,461,238,7,164,1
47,408,213,1,138,0
48,420,208,7,157,1
49,435,230,1,155,0
50,511,280,3,152,3
51,440,230,0,158,1
52,523,275,4,175,0
53,454,230,7,176,1
54,511,286,2,173,0
55,645,331,2,213,1
56,517,279,3,171,1
57,523,269,4,180,2
58,484,248,3,163,0
59,544,274,5,195,0
60,683,375,2,225,1
61,550,275,3,204,0
62,555,280,3,190,0
63,579,305,4,183,0
64,560,304,4,194,0
65,671,356,7,204,0
66,610,311,2,223,0
67,563,284,7,195,0
68,541,288,4,202,2
69,603,327,2,212,0
70,3082,319,4,224,0
71,574,284,3,207,1
72,577,307,1,192,0
73,561,305,5,175,0
74,555,297,2,188,2
75,650,353,4,200,0
76,548,270,2,196,1
77,526,298,4,170,0
78,510,271,4,172,0
79,413,220,3,137,1
80,1306,662,8,513,2
81,363,191,1,113,0
82,359,176,0,126,0
83,332,171,1,115,0
84,277,124,1,112,0
85,366,179,3,120,2
86,248,126,1,86,0
87,285,144,2,97,0
88,223,112,3,71,0
89,181,90,2,72,0
90,256,125,3,100,1
91,181,65,3,94,0
92,160,74,2,63,0
93,141,65,0,55,0
94,118,38,0,64,0
95,99,42,1,40,0
96,65,24,1,36,0
97,79,32,1,36,0
98,68,19,0,32,0
99,78,30,0,34,0
