Yard Line,Number of Plays,Touchdowns
1,391,181
2,300,82
3,235,78
4,227,52
5,255,53
6,237,51
7,252,50
8,273,44
9,260,33
10,292,47
11,270,27
12,262,22
13,276,22
14,286,22
15,338,26
16,258,11
17,243,17
18,233,14
19,295,20
20,329,19
21,260,16
22,293,16
23,280,13
24,296,8
25,326,12
26,308,9
27,316,10
28,312,10
29,336,12
30,357,14
31,325,10
32,291,9
33,350,13
34,373,12
35,398,11
36,393,10
37,378,3
38,347,5
39,395,8
40,460,10
41,410,3
42,392,6
43,393,1
44,424,5
45,499,4
46,421,3
47,393,4
48,438,3
49,467,7
50,499,3
51,437,4
52,453,4
53,445,6
54,535,9
55,628,3
56,534,3
57,477,5
58,476,7
59,588,9
60,644,3
61,524,4
62,568,7
63,516,1
64,562,7
65,686,5
66,561,6
67,599,4
68,536,5
69,572,6
70,3069,21
71,599,6
72,593,5
73,618,1
74,612,2
75,657,7
76,585,5
77,480,2
78,492,2
79,488,4
80,1260,14
81,423,5
82,344,2
83,322,1
84,303,2
85,354,1
86,284,3
87,237,1
88,232,1
89,206,4
90,243,2
91,170,2
92,155,0
93,97,0
94,115,0
95,102,1
96,97,0
97,76,0
98,72,3
99,83,3
