Yard Line,Number of Plays,Touchdowns
1,3127,1503
2,2501,674
3,1829,598
4,1925,526
5,2159,540
6,1954,399
7,1974,381
8,1896,332
9,2093,316
10,2140,308
11,2117,248
12,2052,199
13,2102,223
14,2283,203
15,2485,181
16,2144,152
17,2188,160
18,2165,138
19,2333,145
20,2622,160
21,2262,111
22,2261,119
23,2422,104
24,2525,98
25,2714,113
26,2422,98
27,2500,76
28,2440,72
29,2646,77
30,2997,90
31,2646,78
32,2700,73
33,2797,66
34,2893,80
35,3200,82
36,2972,59
37,2850,43
38,2890,51
39,3045,52
40,3455,63
41,3049,48
42,3052,51
43,3266,44
44,3499,43
45,3700,38
46,3296,32
47,3358,40
48,3492,44
49,3571,33
50,4235,45
51,3531,33
52,3618,32
53,3702,36
54,4001,33
55,4650,40
56,3906,39
57,3889,35
58,3964,22
59,4332,42
60,5097,35
61,4346,41
62,4262,31
63,4399,39
64,4434,30
65,20333,107
66,4506,32
67,4460,41
68,4392,29
69,4814,40
70,9796,91
71,4772,39
72,4572,36
73,4539,35
74,4568,34
75,7135,51
76,4435,39
77,4331,33
78,4283,32
79,3927,35
80,14829,117
81,3262,29
82,2940,17
83,2730,19
84,2643,21
85,2955,26
86,2248,15
87,2038,21
88,1846,17
89,1739,16
90,2216,22
91,1476,16
92,1380,12
93,974,7
94,949,11
95,919,13
96,694,1
97,584,4
98,555,9
99,535,11
