Yard Line,Number of Plays,Touchdowns,,,,End Zone,,
1,420,207,,,1,49.3%,,
2,348,91,,,,26.1%,,
3,273,92,,,,33.7%,,
4,264,80,,,,30.3%,,
5,274,75,,,5,27.4%,,
6,236,47,,,,19.9%,,
7,244,48,,,,19.7%,,
8,227,35,,,,15.4%,,
9,260,44,,,,16.9%,,
10,274,38,,,10,13.9%,,
11,251,25,,,,10.0%,,
12,237,23,,,,9.7%,,
13,275,30,,,,10.9%,,
14,329,31,,,,9.4%,,
15,348,19,,,15,5.5%,,
16,287,13,,,,4.5%,,
17,318,17,,,,5.3%,,
18,297,20,,,,6.7%,,
19,286,19,,,,6.6%,,
20,342,22,,,20,6.4%,,
21,269,17,,,,6.3%,,
22,279,13,,,,4.7%,,
23,287,13,,,,4.5%,,
24,326,14,,,,4.3%,,
25,353,15,,,25,4.2%,,
26,316,12,,,,3.8%,,
27,326,4,,,,1.2%,,
28,313,6,,,,1.9%,,
29,332,8,,,,2.4%,,
30,393,10,,,30,2.5%,,
31,362,8,,,,2.2%,,
32,339,9,,,,2.7%,,
33,310,4,,,,1.3%,,
34,351,8,,,,2.3%,,
35,403,13,,,35,3.2%,,
36,414,6,,,,1.4%,,
37,323,6,,,,1.9%,,
38,409,7,,,,1.7%,,
39,396,1,,,,0.3%,,
40,386,9,,,40,2.3%,,
41,353,5,,,,1.4%,,
42,349,10,,,,2.9%,,
43,424,5,,,,1.2%,,
44,438,10,,,,2.3%,,
45,461,7,,,45,1.5%,,
46,424,2,,,,0.5%,,
47,425,4,,,,0.9%,,
48,459,2,,,,0.4%,,
49,418,1,,,,0.2%,,
50,555,6,,,50,1.1%,,
51,408,5,,,,1.2%,,
52,467,3,,,,0.6%,,
53,462,5,,,,1.1%,,
54,518,4,,,,0.8%,,
55,582,6,,,55,1.0%,,
56,502,4,,,,0.8%,,
57,472,5,,,,1.1%,,
58,474,1,,,,0.2%,,
59,567,1,,,,0.2%,,
60,618,4,,,60,0.6%,,
61,609,3,,,,0.5%,,
62,567,2,,,,0.4%,,
63,601,3,,,,0.5%,,
64,631,3,,,,0.5%,,
65,3121,12,,,65,0.4%,,
66,598,6,,,,1.0%,,
67,530,4,,,,0.8%,,
68,565,2,,,,0.4%,,
69,618,4,,,,0.6%,,
70,661,4,,,70,0.6%,,
71,562,5,,,,0.9%,,
72,580,4,,,,0.7%,,
73,563,3,,,,0.5%,,
74,611,4,,,,0.7%,,
75,2291,15,,,75,0.7%,,
76,498,4,,,,0.8%,,
77,433,3,,,,0.7%,,
78,424,3,,,,0.7%,,
79,434,3,,,,0.7%,,
80,761,7,,,80,0.9%,,
81,341,1,,,,0.3%,,
82,315,0,,,,0.0%,,
83,284,2,,,,0.7%,,
84,345,2,,,,0.6%,,
85,350,4,,,85,1.1%,,
86,283,2,,,,0.7%,,
87,205,4,,,,2.0%,,
88,192,2,,,,1.0%,,
89,200,1,,,,0.5%,,
90,226,0,,,90,0.0%,,
91,194,0,,,,0.0%,,
92,158,2,,,,1.3%,,
93,98,0,,,,0.0%,,
94,106,3,,,,2.8%,,
95,104,2,,,95,1.9%,,
96,92,0,,,,0.0%,,
97,73,0,,,,0.0%,,
98,52,1,,,,1.9%,,
99,68,0,,,99,0.0%,,
